iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
USA,United States,2000,-2.402,-155.799,1.659,84.622,-1.431,-58.674,2.268,586.048,1.597,215.576,14.606,0.14,4.716,37.003,131.352,532.606,51.715,4.426,23.789,266.441,6286.536,6979.744,22315.576,6329.958,22469.694,3835.86,60.73,1966.27,2697.28,614.99,270.03,753.89,116.02,14.09,74.82,350.93,0.49,5.59,3802.1,2025.02,2.037,93804.323,2.764,87.886,624.76,23224.595,82441.232,9574.638,70.942,1.29738E+13,16.175,3.993,23.78,241.278,6283.907,2183.054,22306.241,5186.003,18408.953,7.102,-13.848,2.867,-121.789,757.671,958.536,2689.534,29.058,1104.82,3921.822,-1.195,12.114,-38.712,3201.128,11363.166,0.88,33.76,19.828,3.521,8.342,74.967,2204.367,2676.112,7824.926,3.051,1.111,40.317,117.041,10654.133,411.841,37819.415,4042.366,14349.34,50.016,265.591,0.158,0.7,0.292,184.952,0.371,1.968,656.533,13496.46,281710912,26425.702,1245.71,9.23,-10.237,3.772,-113.679,996.761,3538.24,0.013,0.033,0.005,0,1.44,1.739,5.113,0.147,24.627,0.059,3.101,15.694,19.843,55.709
USA,United States,2001,3.57,225.963,2.564,132.947,-0.884,-35.731,-2.358,-623.204,1.335,174.802,6.239,0.152,2.309,39.312,138.126,535.533,51.094,-2.946,23.646,-185.22,6101.316,6689.763,21437.63,6555.921,23034.914,3748.45,49.75,1903.96,2678.68,639.13,208.14,768.83,135.59,13.74,63.49,278.91,0.54,6.74,3726.42,1995.62,1.97,90659.776,-2.066,88.149,-479.832,22744.763,79916.105,9411.823,71.883,1.31005E+13,17.151,-4.413,23.279,-277.327,6006.58,2245.65,21104.765,5318.95,18688.687,5.586,-23.422,2.249,-177.463,580.208,731.322,2038.622,28.117,1047.74,3681.344,-4.479,11.851,-143.372,3057.755,10743.744,0.588,22.03,20.632,1.319,8.656,29.067,2233.434,2701.365,7847.405,3.639,-0.162,41.224,-17.285,10636.848,476.41,37373.71,4006.635,14077.731,48.277,223.079,-0.28,0.715,-0.518,184.435,0.369,1.704,648.031,13093.167,284608000,25802.498,979.979,7.485,-17.3,3.195,-172.44,824.321,2896.338,0.014,10.05,0.006,0.145,1.585,1.897,5.569,0.181,19.672,0.073,3.087,18.781,23.682,65.989
USA,United States,2002,-3.461,-226.868,-3.885,-206.662,-0.756,-30.284,1.445,372.95,1.398,186.961,19.461,0.179,7.651,46.962,163.473,526.956,50.308,-0.047,23.298,-2.862,6098.454,6729.095,21228.326,6329.053,22031.006,3863.56,53.71,1933.13,2727.83,691.01,255.59,780.06,103.69,14.49,68.2,334.69,0.55,10.35,3842.58,2024.87,1.963,91114.972,0.867,87.647,197.235,22941.998,79859.55,9495.393,70.99,1.33345E+13,17.983,3.239,23.691,194.532,6201.112,2405.359,21585.671,5112.288,17795.529,6.652,22.004,2.704,127.671,707.879,889.692,2464.081,29.01,1114.75,3880.37,5.747,12.353,175.716,3233.471,11255.495,0.543,20.98,20.3,0.807,8.601,18.026,2251.46,2715.336,7837.181,2.698,0.052,40.658,5.565,10642.413,360.938,37045.553,3976.351,13841.411,50.439,237.4,6.727,0.752,12.407,196.842,0.377,1.775,685.194,13375.762,287279328,26175.448,1165.033,8.71,19.13,3.752,157.69,982.011,3418.314,0.014,4.068,0.006,0.064,1.65,1.915,5.742,0.269,52.694,0.11,9.896,28.678,36.028,99.825
USA,United States,2003,-2.809,-177.791,1.296,66.27,-2.735,-108.745,0.309,80.86,1.38,184.048,35.669,0.243,16.751,63.713,219.841,532.299,51.047,1.903,23.669,116.083,6214.537,6810.332,21443.095,6151.262,21224.748,3872.93,53.34,1973.74,2756.03,649.91,267.27,763.73,132.38,14.42,67.76,346.75,0.53,11.19,3866.51,2058.14,1.915,90596.614,0.428,87.751,98.141,23040.139,79499.318,9509.6,71.28,1.37088E+13,16.809,-2.89,22.935,-179.212,6021.901,2242.495,20778.407,5178.558,17868.462,6.912,3.902,2.801,27.619,735.498,922.207,2537.816,28.72,1110.48,3831.678,-0.534,12.249,-17.281,3216.19,11097.368,0.166,6.42,19.752,-2.721,8.342,-61.267,2190.193,2635.228,7557.197,3.424,1.515,41.147,161.269,10803.682,456.773,37277.817,3867.606,13345.062,49.756,233.804,-1.274,0.74,-2.507,194.335,0.373,1.752,670.545,13341.279,289815552,26256.308,1196.451,8.968,4.479,3.908,43.986,1025.997,3540.171,0.014,0.855,0.006,0.014,1.664,1.829,5.74,0.289,7.354,0.117,2.109,30.787,38.611,106.228
USA,United States,2004,3.433,211.163,-2.847,-147.457,-2.164,-83.705,1.966,516.199,1.356,183.134,26.232,0.3,16.713,80.427,275.1,529.099,50.086,0.651,23.363,40.445,6254.982,6766.781,21395.203,6362.425,21762.696,3961.12,53.54,1978.3,2818.28,710.1,259.93,788.53,129.88,14.81,68.35,343,0.58,14.14,3949.81,2089.84,1.882,91575.442,1.992,87.773,459.007,23499.145,80378.899,9639.935,71.352,1.42279E+13,17.978,0.405,22.584,24.377,6046.277,2428.899,20681.327,5031.101,17208.896,6.581,-3.367,2.655,-24.761,710.738,889.091,2431.08,28.648,1131.53,3870.402,1.778,12.227,57.193,3273.383,11196.616,0.286,11.31,19.964,2.589,8.393,56.705,2246.898,2697.169,7685.521,3.288,3.649,41.826,394.185,11197.867,444.255,38302.369,3783.902,12942.847,50.658,233.791,0.217,0.727,0.422,194.757,0.375,1.73,666.166,13510.337,292354656,26772.507,1173.233,8.684,0.048,3.834,0.488,1026.485,3511.095,0.015,13.597,0.007,0.226,1.89,1.984,6.464,0.358,25.62,0.144,7.887,38.674,48.366,132.284
USA,United States,2005,1.458,92.737,-2.717,-136.693,-5.031,-190.369,0.041,10.928,1.346,184.004,16.846,0.351,13.549,93.975,318.568,530.787,49.91,1.47,23.697,91.975,6346.957,6823.438,21515.599,6455.162,21882.388,4057.81,54.28,2012.87,2899.95,760.96,263.76,781.99,126.12,14.69,68.97,351.09,0.55,17.81,4033.03,2140.68,1.822,90793.305,0.059,87.789,13.838,23512.984,79706.785,9830.555,71.905,1.47037E+13,18.868,-1.56,22.222,-94.348,5951.93,2579.582,20176.494,4894.408,16591.579,6.54,0.833,2.676,5.92,716.657,894.121,2429.401,28.095,1133.08,3841.034,-0.089,12.211,-2.91,3270.473,11086.593,0.611,24.78,19.39,-1.457,8.267,-32.744,2214.154,2650.872,7505.771,3.127,0.145,41.869,16.211,11214.078,427.535,38014.692,3593.533,12181.735,49.798,233.802,0.269,0.729,0.523,195.28,0.364,1.71,661.98,13671.589,294993504,26783.435,1190.162,8.705,2.906,3.944,29.834,1056.319,3580.822,0.014,6.593,0.008,0.125,2.014,1.864,6.829,0.442,25.128,0.181,9.718,48.392,60.374,164.045
USA,United States,2006,2.607,168.256,2.51,122.833,-1.452,-52.161,-0.813,-217.832,1.356,184.243,40.143,0.496,37.725,131.7,442.305,522.156,49.209,-1.533,23.525,-97.274,6249.683,6684.971,20989.082,6623.418,22244.227,4063.42,54.86,1990.51,2878.56,816.44,282.69,787.22,71.61,14.57,69.43,379.22,0.51,26.59,4045,2112.12,1.76,89218.479,-1.389,87.28,-326.596,23186.388,77869.652,9667.416,71.163,1.50959E+13,20.184,-1.447,22.08,-86.152,5865.778,2741.949,19699.767,5017.241,16850.006,6.989,6.501,2.873,46.59,763.247,949.392,2563.305,28.837,1166.44,3917.397,3.326,12.72,108.763,3379.236,11348.899,0.453,18.42,19.462,0.036,8.338,0.796,2214.95,2643.816,7438.734,1.77,-1.277,41.674,-143.169,11070.909,240.497,37180.803,3541.372,11893.418,48.932,233.175,0.034,0.735,0.066,195.346,0.36,1.716,656.054,13584.813,297758976,26565.603,1273.58,9.375,10.221,4.383,107.967,1164.286,3910.164,0.013,9.393,0.008,0.189,2.204,1.713,7.401,0.657,48.35,0.27,23.397,71.79,89.3,241.1
USA,United States,2007,-1.248,-82.629,4.019,201.648,0.155,5.505,1.392,369.679,1.341,184.759,26.305,0.618,34.644,166.344,553.357,525.213,48.701,1.347,23.515,84.167,6333.85,6707.929,21070.116,6540.789,21758.5,4171.76,55.54,2016.46,2988.24,896.59,240.61,806.42,75.19,14.64,70.18,345.85,0.61,34.45,4140.51,2174.65,1.753,89602.543,1.685,87.532,390.62,23577.007,78430.954,9940.639,72.171,1.53645E+13,21.654,6.403,23.172,375.606,6241.383,2982.584,20762.517,5218.889,17361.085,5.811,-15.416,2.397,-117.661,645.586,800.41,2147.599,27.829,1152.27,3833.126,-0.62,12.468,-20.941,3358.296,11171.661,0.749,31.25,19.476,1.799,8.371,39.858,2254.808,2682.626,7500.813,1.816,-0.625,40.845,-69.154,11001.756,250.126,36598.32,3546.877,11798.994,48.701,233.46,0.446,0.728,0.87,196.216,0.354,1.695,652.73,13773.765,300608448,26935.281,1150.5,8.353,-5.222,4.097,-60.799,1103.488,3670.848,0.015,32.038,0.011,0.706,2.91,2.029,9.679,0.832,28.754,0.343,20.642,92.432,114.601,307.483
USA,United States,2008,1.527,99.852,4.633,241.786,-0.903,-32.034,-2.463,-663.392,1.341,181.326,36.596,0.865,60.876,227.219,748.698,518.707,48.375,-1.591,23.725,-100.795,6233.055,6543.3,20538.21,6640.641,21881.208,4137.87,55.03,1985.8,2924.21,882.98,248.54,806.21,55.43,14.84,69.87,374.63,0.86,55.36,4105.05,2129.32,1.715,86567.053,-3.314,86.768,-781.328,22795.68,75112.785,9635.403,71.234,1.53197E+13,21.51,0.762,23.938,47.529,6288.912,2909.459,20722.262,5460.675,17993.168,6.054,2.654,2.523,17.134,662.72,818.95,2183.693,28.766,1180.84,3890.921,3.512,13.232,117.935,3476.231,11454.337,0.793,32.82,19.639,-0.648,8.527,-14.606,2240.202,2656.498,7381.565,1.35,-6.618,39.105,-728.061,10273.695,182.644,33852.312,3514.843,11581.567,48.898,230.225,-1.049,0.739,-2.058,194.158,0.362,1.702,639.759,13526.323,303486016,26271.89,1234.423,9.126,12.011,4.705,132.542,1236.029,4072.772,0.021,48.156,0.016,1.401,4.311,2.834,14.205,1.349,59.708,0.562,55.189,147.621,182.414,486.418
USA,United States,2009,-9.34,-620.218,2.109,115.15,6.738,236.836,-4.972,-1306.259,1.384,177.893,13.607,1.034,30.918,258.137,842.739,496.546,44.596,-12.044,21.96,-750.679,5482.376,5732.474,17898.288,6020.423,19654.829,3971.41,54.49,1755.9,2725.41,920.98,268.82,798.85,48.53,15.01,69.5,413.1,0.89,73.89,3937.36,1955.08,1.676,81505.111,-6.14,85.701,-1399.761,21395.919,69851.099,8897.626,69.219,1.48943E+13,23.391,-1.791,24.739,-112.631,6176.281,3006.717,20163.675,5575.825,18203.355,6.827,7.49,2.853,49.636,712.356,877.615,2325.623,30.781,1211.95,3956.644,2.69,14.299,93.501,3569.732,11654.077,0.857,34.05,20.289,-1.524,8.836,-34.136,2206.065,2608,7202.126,1.233,-5.222,39.003,-536.451,9737.245,158.436,31789.136,3751.679,12248.079,49.003,226.896,-1.146,0.769,-2.226,191.932,0.381,1.765,626.599,12854.27,306307552,24965.631,1348.645,10.492,10.326,5.462,127.637,1363.666,4451.951,0.023,26.336,0.022,1.135,5.446,2.906,17.78,1.877,32.634,0.784,48.174,195.795,241.228,639.211
